Header id: 	af243246	56fe1289	9078bc29	80340101
03/04/2022 22:24:13
Sample frequency:	999 (Hz)
6 column(s):	SENSOR_TIMESTAMP(ns)	uint64	(8)	SYSTEM_RELATIVE_TIMESTAMP(ms)	uint64	(8)	GYR_CALIB_X(rad/s)	float	(4) 	GYR_CALIB_Y(rad/s)	float	(4) 	GYR_CALIB_Z(rad/s)	float	(4)	ACCURACY	float	(4)	

Calib id: 	af243246	56fe1289	9078bc29	80360200
Calib datetime:	03/04/2022 22:24:13
Calib version:	2
Number of Calibration coefficient:	1
SYSTEM_REFERENCE_TIMESTAMP(ms)	double	(1, 1)
1648995853180

Data id: 	af243246	56fe1289	9078bc29	80350100	
9808136265500827	666	-0.4058763	-0.076846845	-0.48422414	3	
9808136267500827	668	-0.41093776	-0.064332835	-0.4787089	3	
9808136269500827	671	-0.41805872	-0.05136504	-0.47204176	3	
9808136271500827	673	-0.42884484	-0.035971235	-0.46333256	3	
9808136273499264	674	-0.43954372	-0.021816615	-0.45537385	3	
9808136275500827	676	-0.44800857	-0.011013027	-0.44834018	3	
9808136277511764	678	-0.45776495	-6.1086525E-4	-0.43978807	3	
9808136279500827	680	-0.4674166	0.008656833	-0.4309567	3	
9808136281500827	682	-0.47703338	0.015899949	-0.42198572	3	
9808136283500827	685	-0.48851764	0.022008602	-0.41296235	3	
9808136285500827	686	-0.5017123	0.027977629	-0.40456733	3	
9808136287500827	688	-0.5159193	0.03260275	-0.39641663	3	
9808136289500827	690	-0.530231	0.034801867	-0.38803905	3	
9808136291500827	692	-0.54457766	0.034435347	-0.3808483	3	
9808136293500827	694	-0.55957	0.03176499	-0.3741288	3	
9808136295532077	696	-0.5754525	0.024993114	-0.3663446	3	
9808136297500827	698	-0.59234726	0.014346606	-0.35749578	3	
9808136299530514	700	-0.6093119	0.0043284167	-0.3475823	3	
9808136301500827	703	-0.62570053	-0.005410521	-0.33691835	3	
9808136303505514	705	-0.6440439	-0.019477874	-0.32499775	3	
9808136305500827	706	-0.6603453	-0.033405602	-0.31510174	3	
9808136307507077	708	-0.6729815	-0.044139378	-0.30885348	3	
9808136309500827	710	-0.6850592	-0.05448918	-0.30316368	3	
9808136311500827	712	-0.6947283	-0.06312856	-0.2964267	3	
9808136313500827	714	-0.7021285	-0.06948156	-0.2886251	3	
9808136315500827	716	-0.7082895	-0.073967054	-0.28071874	3	
9808136317500827	718	-0.71364766	-0.07579965	-0.27372	3	
9808136319500827	720	-0.7180284	-0.073059484	-0.2674019	3	
9808136321500827	722	-0.7210828	-0.06658431	-0.26103145	3	
9808136323500827	724	-0.72326446	-0.058276545	-0.25497514	3	
9808136325500827	726	-0.72480035	-0.047944196	-0.24902357	3	
9808136327500827	728	-0.72635365	-0.035220746	-0.24314182	3	
9808136329500827	730	-0.72762775	-0.019617502	-0.23727751	3	
9808136331500827	732	-0.72719145	-9.5993106E-4	-0.23109904	3	
